Plate,Experiment,Hour,Magnification,Well,Student,Animal,Length,Width,Radius,Volume,Area
p01,growth,01,2X,A01,Hannah,1,242.03425079999997,20.1014511,10.05072555,7080.32918191421,4703.707137980321
p01,growth,01,2X,A01,Hannah,2,265.09015079999995,13.5799251,6.78996255,3539.241055394629,3476.318722345573
p01,growth,01,2X,A01,Hannah,3,314.482476,16.2181788,8.1090894,5988.560204990626,4915.743929236719
p01,growth,01,2X,A01,Hannah,4,265.82464589999995,18.411783,9.2058915,6523.921717555172,4726.122620999532
p01,growth,01,2X,A01,Hannah,5,286.3048725,18.11535,9.057675,6802.115461255527,5003.9041132085
p01,growth,01,2X,A05,Hannah,6,309.2026749,23.055899999999998,11.527949999999999,11899.513436217874,6872.154209614972
p01,growth,01,2X,A05,Hannah,7,299.1799458,19.7622,9.8811,8459.113678440053,5701.493901298807
p01,growth,01,2X,A05,Hannah,8,299.12395289999995,10.414679399999999,5.2073396999999995,2348.9014928143656,3004.1310684194978
p01,growth,01,2X,A05,Hannah,9,265.28777279999997,19.7622,9.8811,7500.835063041103,5062.64149103284
p01,growth,01,2X,A05,Hannah,10,270.7322589,19.294494599999997,9.647247299999998,7296.735822350935,5043.022968847845
p01,growth,01,2X,A09,Hannah,11,301.00794929999995,17.7036375,8.85181875,6830.064162870599,5138.456064299239
p01,growth,01,2X,A09,Hannah,12,298.10619959999997,15.6055506,7.8027753,5255.947301263969,4486.2971157617785
p01,growth,01,2X,A09,Hannah,13,283.00129139999996,13.9751691,6.98758455,4001.514198333535,3816.2485717104273
p01,growth,01,2X,A09,Hannah,14,247.4919117,15.4112223,7.70561115,4255.56258633446,3686.4261151686924
p01,growth,01,2X,A09,Hannah,15,257.9559966,18.4051956,9.2025978,6326.278465355004,4586.295832979192
p01,growth,01,2X,A10,Hannah,16,279.5626686,19.4229489,9.71147445,7635.391574005593,5240.189130258751
p01,growth,01,2X,A10,Hannah,17,299.87162279999995,15.720830099999999,7.860415049999999,5365.47431262531,4545.909971796804
p01,growth,01,2X,A10,Hannah,18,304.7594736,12.077997899999998,6.038998949999999,3218.6141485654525,3548.8404118838966
p01,growth,01,2X,A10,Hannah,19,293.1919992,17.044897499999998,8.522448749999999,6166.840337344933,4820.187999043467
p01,growth,01,2X,A10,Hannah,20,288.8706648,28.3324074,14.1662037,16787.73861787791,7895.443952873305
p01,growth,01,2X,A11,Hannah,21,282.67521509999995,19.9005354,9.9502677,8104.739389975725,5428.119766398213
p01,growth,01,2X,A11,Hannah,22,291.2223666,23.579598299999997,11.789799149999999,11722.475480610496,6623.861250643016
p01,growth,01,2X,A11,Hannah,23,291.6406665,17.5060155,8.75300775,6470.599221627317,4924.685741750379
p01,growth,01,2X,A11,Hannah,24,282.6686277,19.831367699999998,9.915683849999999,8048.31093301984,5409.128807540563
p01,growth,01,2X,A11,Hannah,25,301.472361,15.536382899999998,7.768191449999999,5268.2834828895975,4516.295509926283
p70,growth,70,2X,A07,Hannah,26,1333.2502356,77.7346137,38.86730685,583260.2239185208,99097.68685563968
p70,growth,70,2X,A07,Hannah,27,1390.8866919,74.52654989999999,37.263274949999996,559288.1102182209,99105.05798524494
p70,growth,70,2X,A07,Hannah,28,1439.4753543,69.8692581,34.93462905,508742.8269108238,96149.88813509376
p70,growth,70,2X,A07,Hannah,29,1360.4331416999999,75.2511639,37.62558195,557731.8524419045,97882.81327313207
p70,growth,70,2X,A07,Hannah,30,1457.4095507999998,76.8222588,38.4111294,622698.1251263615,107032.31065210352
p70,growth,70,2X,A04,Hannah,31,1438.4411325,73.1333148,36.5666574,556986.1703038771,100569.54436641737
p70,growth,70,2X,A04,Hannah,32,1447.4065839,76.8222588,38.4111294,618424.2209716154,106299.34818344527
p70,growth,70,2X,A04,Hannah,33,1409.1370835999999,93.15901079999999,46.579505399999995,885369.9602261945,125504.08899419449
p70,growth,70,2X,A04,Hannah,34,1388.063991,89.4766542,44.7383271,804545.7814921493,118744.73484584711
p70,growth,70,2X,A04,Hannah,35,1393.5842321999999,86.95697369999999,43.478486849999996,762893.4029984113,115858.714695146
p70,growth,70,2X,A09,Hannah,36,1437.5781831,81.4828443,40.74142215,691012.0739255407,111984.3619793487
p70,growth,70,2X,A09,Hannah,37,1388.1496272,75.1787025,37.58935125,567999.2137870649,99776.0211726572
p70,growth,70,2X,A09,Hannah,38,1401.7559018999998,81.3478026,40.6739013,671561.5878015645,109019.28144226556
p70,growth,70,2X,A09,Hannah,39,1369.8662984999999,74.0160264,37.0080132,543314.774439073,96942.1712163691
p70,growth,70,2X,A09,Hannah,40,1424.6438232,83.8444272,41.9222136,725064.2718601745,114195.56591965578
p70,growth,70,2X,A08,Hannah,41,1407.167451,83.9728815,41.98644075,718365.877241255,112970.75147701203
p70,growth,70,2X,A08,Hannah,42,1361.2170423,73.1333148,36.5666574,527083.8341679913,95182.70665503459
p70,growth,70,2X,A08,Hannah,43,1328.8498524,70.4884737,35.24423685,478006.638282846,89564.30636418032
p70,growth,70,2X,A08,Hannah,44,1418.0564232,86.6440722,43.3220361,770713.6030121613,117464.26348602433
p70,growth,70,2X,A08,Hannah,45,1390.534266,87.7013499,43.85067495,774312.1131029503,116595.36464806141
p70,growth,70,2X,A10,Hannah,46,1349.8603647,80.13901469999999,40.069507349999995,627622.7021830275,103432.51333766544
p70,growth,70,2X,A10,Hannah,47,1404.2887572,84.35824439999999,42.179122199999995,723491.2557952353,113257.56270413387
p70,growth,70,2X,A10,Hannah,48,1337.4793464,70.9495917,35.47479585,487425.9952340493,90734.19785594188
p70,growth,70,2X,A10,Hannah,49,1405.125357,97.3189539,48.65947695,963455.6698608379,130735.9893093328
p70,growth,70,2X,A10,Hannah,50,1427.5093422,79.0488,39.5244,645790.0121836298,107880.00782662672
p71,growth,71,2X,A08,Hannah,51,1445.7070347,81.3478026,40.6739013,692617.958949236,112429.49622041303
p71,growth,71,2X,A08,Hannah,52,1427.6773208999998,74.3091657,37.15458285,570737.7950548646,101423.60826293715
p71,growth,71,2X,A08,Hannah,53,1377.8436399,69.8692581,34.93462905,486960.7988145776,92042.59013929001
p71,growth,71,2X,A08,Hannah,54,1426.0535267999999,71.2526121,35.62630605,524154.36757638585,97141.40182096233
p71,growth,71,2X,A08,Hannah,55,1384.9415634,74.3091657,37.15458285,553653.4639889532,98394.60581341601
p71,growth,71,2X,A01,Hannah,56,1442.3738102999998,76.6081683,38.30408415,612843.7860170976,105635.36378085634
p71,growth,71,2X,A01,Hannah,57,1386.8288535,86.20601009999999,43.10300504999999,746139.0338221452,114302.69423598025
p71,growth,71,2X,A01,Hannah,58,1424.1563555999999,83.8444272,41.9222136,724816.1780316022,114156.58197424846
p71,growth,71,2X,A01,Hannah,59,1336.0235309999998,83.9728815,41.98644075,682046.5575576861,107272.48598439482
p71,growth,71,2X,A01,Hannah,60,1410.6554792999998,67.1783052,33.5891526,460893.7809764743,90600.09981704227
p71,growth,71,2X,A09,Hannah,61,1390.0467984,91.5747411,45.78737055,843922.610191433,121702.3019343089
p71,growth,71,2X,A09,Hannah,62,1363.2294929999998,81.3478026,40.6739013,653104.1257726141,106029.97671654681
p71,growth,71,2X,A09,Hannah,63,1441.4449869,61.26611369999999,30.633056849999996,391706.28412002395,84425.85505971439
p71,growth,71,2X,A09,Hannah,64,1417.1012501999999,93.2182974,46.6091487,891507.5301393579,126292.08084774687
p71,growth,71,2X,A09,Hannah,65,1406.1562850999999,101.67981269999999,50.83990634999999,1052506.7002520356,136694.24789684027
p71,growth,71,2X,A03,Hannah,66,1381.7137374,67.1783052,33.5891526,451437.84432285884,88745.63096950052
p71,growth,71,2X,A03,Hannah,67,1425.2597451,77.1746847,38.58734235,614561.7812259523,105156.75831950526
p71,growth,71,2X,A03,Hannah,68,1402.0029293999999,78.291249,39.1456245,622152.9516769433,104941.44960848226
p71,growth,71,2X,A03,Hannah,69,1380.5543549999998,75.10953479999999,37.554767399999996,563852.4298707283,99140.09088614663
p71,growth,71,2X,A03,Hannah,70,1420.5266981999998,77.7346137,38.86730685,621441.2703264997,105568.77645489038
p71,growth,71,2X,A07,Hannah,71,1392.9814850999999,79.1871354,39.5935677,632377.502442699,105460.90290388113
p71,growth,71,2X,A07,Hannah,72,1383.9732156,71.93440799999999,35.967203999999995,518469.04799379694,95183.68970547814
p71,growth,71,2X,A07,Hannah,73,1410.2536478999998,91.51545449999999,45.757727249999995,855082.2973647239,123387.34914040356
p71,growth,71,2X,A07,Hannah,74,1426.1029322999998,84.35824439999999,42.179122199999995,734729.9450294242,115012.78513646076
p71,growth,71,2X,A07,Hannah,75,1413.9392982,69.2467488,34.6233744,490852.87865278916,93606.60113758697
p72,growth,72,2X,A04,Hannah,76,1414.4168846999999,82.540122,41.270061,697636.9051411649,111613.96109471885
p72,growth,72,2X,A04,Hannah,77,1376.3021883,67.5801366,33.7900683,455065.3127023852,88927.6446154592
p72,growth,72,2X,A04,Hannah,78,1368.795846,79.0488,39.5244,619228.6522643269,103453.1145067429
p72,growth,72,2X,A04,Hannah,79,1385.1852972,78.0837459,39.04187295,611435.9274804724,103410.77363715453
p72,growth,72,2X,A04,Hannah,80,1335.7830909,82.60599599999999,41.302997999999995,659904.1921547047,105507.39192681159
